Video,ObjectID,C
2,6759,-15.527
2,6778,3.5238
2,6795,14.954
2,6852,22.574
2,6864,18.001
2,6865,14.954
2,6873,14.954
2,6879,14.954
2,6881,14.954
2,6891,14.954
2,6894,24.097
2,6942,14.954
2,6965,14.954
2,6977,14.954
2,7008,-3.3342
2,7035,9.8732
2,7037,-7.9063
2,7042,-8.9951
2,7051,3.5238
2,7078,14.954
2,7083,3.5238
2,7141,9.8732
2,7155,2.4847
2,7166,14.954
2,7198,3.5238
2,7199,3.5238
2,7204,21.484
2,7213,-7.9063
2,7232,14.954
2,7242,14.954
2,7258,14.954
2,7269,14.954
2,7275,14.954
2,7277,-7.9063
2,7284,14.954
2,7335,-15.527
2,7340,-11.172
2,7344,-21.623
2,7345,14.954
2,7386,14.954
2,7390,9.2384
2,7400,-3.3342
2,7408,-3.3342
2,7428,14.954
2,7429,14.954
2,7457,-7.9063
2,7473,-11.172
2,7474,14.954
2,7479,14.954
2,7482,14.954
2,7501,14.954
2,7502,-0.28608
2,7509,3.5238
2,7519,14.954
2,7541,14.954
2,7544,14.954
2,7593,14.954
2,7605,14.954
2,7676,5.8098
2,7684,3.5238
2,7702,14.954
2,7704,-11.172
2,7706,-7.9063
2,7708,-17.05
2,7742,14.954
2,7746,-11.172
2,7774,3.5238
2,7780,-3.3342
2,7843,14.954
2,7846,5.8098
2,7853,22.574
2,7893,14.954
2,7897,14.954
2,7935,-0.28608
2,7954,-7.9063
2,7965,14.954
2,7981,14.954
2,8033,-3.3342
2,8035,-7.9063
2,8110,22.574
2,8175,5.8098
2,8224,-7.9063
2,8274,-7.9063
2,8322,14.954
2,8329,22.574
2,8355,-7.9063
2,8371,-15.527
2,8403,14.954
2,8414,14.954
2,8422,14.954
2,8452,14.954
2,8457,-7.9063
2,8467,14.954
2,8476,14.954
2,8483,3.5238
2,8509,-0.28608
2,8616,14.954
2,8670,14.954
2,8685,2.4847
2,8689,-3.3342
2,8690,14.954
2,8703,14.954
2,8709,22.574
2,8719,3.5238
2,8748,4.7939
2,8755,14.954
2,8788,14.954
2,8805,14.954
2,8829,2.4847
2,8835,-13.622
